公司名称,城市,营业收入,利润,上市日期,行业分类,产品类型
北京京鹏环球科技股份有限公司,北京市,3.47亿,-1663.73万,2008-04-30,其他建筑安装业,现代农业设施、出租固定资产
北京金泰得生物科技股份有限公司,北京市,--,--,2008-06-20,饲料加工,饲料
北京林克曼数控技术股份有限公司,北京市,2346.87万,581.21万,2008-09-01,软件开发,硬件、软件
北京凯英信业科技股份有限公司,北京市,150.10万,-1980.41万,2008-10-28,信息系统集成服务,系统集成、技术服务、软硬件开发与销售
北京彩讯科技股份有限公司,北京市,4403.65万,31.75万,2008-10-28,计算机零部件制造,大屏幕图像处理设备、大屏幕信号处理设备、大屏幕显示设备整机、租赁、技术服务、配件、软件产品
北京九州大地生物技术集团股份有限公司,北京市,32.33亿,1.22亿,2008-10-28,饲料加工,饲料、牛奶、生物资产及冻精、牛肉制品
北京联飞翔科技股份有限公司,北京市,6.12亿,2100.86万,2008-12-05,原油加工及石油制品制造,滤清器及其组件类产品、长效低碳润滑类产品、低张力养护液类产品、新型功能材料制品、消毒类产品、佣金服务、后市场服务
北京信维科技股份有限公司,北京市,6558.86万,-1546.57万,2008-12-16,电子测量仪器制造,硬件软件、配件、技术
北京中机联供非晶科技股份有限公司,北京市,110.09万,-719.52万,2008-12-25,变压器、整流器和电感器制造,厂房租金
北京市科瑞讯科技发展股份有限公司,北京市,1720.32万,-5352.23万,2009-01-15,软件开发,软件及技术、集成设备
北京东宝亿通科技股份有限公司,北京市,0.0000,-86.90万,2009-01-12,电气信号设备装置制造,传感器加工
北京圣博润高新技术股份有限公司,北京市,3.58亿,4181.14万,2009-02-18,软件开发,第三方商品、工业互联网安全产品、安全审计及防护产品、安全咨询服务
北京诺思兰德生物技术股份有限公司,北京市,5685.59万,-5052.85万,2020-11-24,生物技术推广服务,基因治疗药物、重组蛋白质类药物、眼科药物
北京九恒星科技股份有限公司,北京市,2.40亿,788.90万,2009-02-18,软件开发,智能资金平台系统及客户化开发、电信业务产品、配套安全及硬件产品、商业智能通用分析平台、金云多银行财资管理平台、集团票据池系统
北京灿和兄弟科技股份有限公司,北京市,2.90亿,-4746.11万,2009-03-19,互联网信息服务,游戏业务
北京国学时代文化传播股份有限公司,北京市,2670.48万,112.64万,2009-03-31,数据处理和存储服务,服务、销售
拉萨经济技术开发区超毅世纪网络技术股份有限公司,拉萨市,848.18万,-1460.46万,2009-04-16,金矿采选,金精粉、粉块矿、副产银
中电达通数据技术股份有限公司,北京市,3327.78万,-3084.02万,2009-04-28,软件开发,技术服务和维保服务、软件和设备销售
中航百慕新材料技术工程股份有限公司,北京市,1.85亿,1081.76万,2009-07-01,涂料制造,涂料、油墨、颜料及类似产品制造
北京清畅电力技术股份有限公司,北京市,4.04亿,925.74万,2009-07-14,配电开关控制设备制造,环网柜系列、箱变系列、柱上开关系列、附件系列、电缆分支箱系列
北京意诚信通科技股份有限公司,北京市,6944.30万,-82.34万,2009-08-05,光电子器件及其他电子器件制造,接触式IC卡、密码卡、非接式卡、软件产品、电子标签、卡基印刷、智能数卡器、磁条卡、卡封、技术服务费、PVC卡
北京富机达能电气产品股份有限公司,北京市,1204.07万,52.12万,2009-11-09,配电开关控制设备制造,高压智能补偿装置、移动计量装置、能源管理服务、自动化控制系统、软件
北京中科国信科技股份有限公司,北京市,1.86亿,2510.96万,2010-01-12,软件开发,航空保障、航空检测、航空电子、卫星通信、卫星导航、卫星测控
北京金山顶尖科技股份有限公司,北京市,5.25亿,1229.05万,2010-03-17,信息系统集成服务,集成业务
中海阳能源集团股份有限公司,北京市,--,--,2010-03-19,光伏设备及元器件制造,光伏电站EPC工程施工及设备、太阳能光热设备及工程、自建电站
